,city id,city,country,lat,lon,cloudiness %,humidity %,max temp (F),wind speed (mph),date
198,2741961,Buarcos,PT,40.166,-8.8768,35,87,57.99,1.99,1619406598
199,6316343,Alta Floresta,BR,-9.8756,-56.0861,95,97,70.74,4.07,1619406326
200,6324729,Halifax,CA,44.6453,-63.5724,100,96,46.0,8.01,1619406579
201,3573374,The Valley,AI,18.217,-63.0578,40,69,80.6,11.5,1619406408
202,2110227,Butaritari,KI,3.0707,172.7902,17,73,83.21,11.56,1619406599
203,1516905,Taraz,KZ,42.9,71.3667,17,47,57.2,4.47,1619406599
204,2070998,Geraldton,AU,-28.7667,114.6,0,19,87.8,18.41,1619406307
205,5351496,Garden Acres,US,37.9638,-121.2294,75,82,57.0,12.66,1619406599
206,3380290,Sinnamary,GF,5.3833,-52.95,100,90,77.31,9.46,1619406600
207,1502026,Krasnoyarsk,RU,56.0097,92.7917,0,49,46.4,8.95,1619406600
208,2160053,Lithgow,AU,-33.4833,150.15,2,84,60.01,1.5,1619406601
209,2177069,Ballina,AU,-28.8667,153.5667,40,64,73.4,12.66,1619406601
210,3382160,Cayenne,GF,4.9333,-52.3333,75,94,78.8,9.22,1619406601
211,1337605,Mahibadhoo,MV,3.7833,72.9667,39,73,83.3,5.59,1619406604
212,7117100,Vila,PT,42.0304,-8.1588,31,94,52.0,2.71,1619406604
213,2980080,Saint-François,FR,46.4154,3.9054,0,58,53.6,3.44,1619406605
214,5364271,Laguna,US,38.421,-121.4238,1,54,57.99,10.36,1619406605
215,1252770,Yavatmal,IN,20.4,78.1333,88,15,93.69,10.8,1619406345
216,3879200,Mulchén,CL,-37.7167,-72.2333,2,82,50.72,4.12,1619406606
217,5859699,College,US,64.8569,-147.8028,1,19,64.4,2.28,1619406606
218,5855051,‘Ewa Beach,US,21.3156,-158.0072,40,57,80.6,8.05,1619406607
219,1504382,Kargasok,RU,59.0556,80.8572,99,90,39.33,8.25,1619406607
220,315621,Emirdağ,TR,39.0197,31.15,96,93,47.05,6.78,1619406608
221,1687894,Santa Rosa,PH,14.3122,121.1114,75,74,84.99,4.61,1619406608
222,1260728,Palakkad,IN,10.7833,76.65,20,74,82.4,2.3,1619406609
223,3373652,Oistins,BB,13.0667,-59.5333,40,61,78.8,16.11,1619406609
224,1078553,Ampanihy,MG,-24.7,44.75,0,75,69.03,6.2,1619406609
225,2017215,Sangar,RU,63.9242,127.4739,100,95,30.27,14.14,1619406610
226,1529376,Korla,CN,41.7597,86.1469,60,17,54.27,6.89,1619406610
227,5861897,Fairbanks,US,64.8378,-147.7164,1,17,64.4,3.44,1619406611
228,3698359,Chicama,PE,-7.8447,-79.1469,11,78,69.01,6.6,1619406611
229,5380437,Pacific Grove,US,36.6177,-121.9166,90,76,54.0,9.22,1619406579
230,2123979,Kuril'sk,RU,45.2333,147.8833,8,70,31.77,15.75,1619406611
231,3347019,Mossamedes,AO,-15.1961,12.1522,0,69,75.25,10.09,1619406612
232,3447409,Sombrio,BR,-29.1139,-49.6167,47,87,62.31,7.63,1619406612
233,2632287,Dalvik,IS,65.9702,-18.5286,90,87,35.6,6.91,1619406613
234,4513583,Hamilton,US,39.1834,-84.5333,20,61,48.0,3.2,1619406613
235,477340,Vakhrushi,RU,58.6847,50.0261,100,96,33.1,10.85,1619406613
236,2015306,Tiksi,RU,71.6872,128.8694,100,94,27.91,11.72,1619406614
237,204953,Tshikapa,CD,-6.4167,20.8,100,97,70.38,0.72,1619406614
238,2020584,Magistral'nyy,RU,56.1725,107.4458,98,79,36.46,6.89,1619406614
239,3838859,Río Gallegos,AR,-51.6226,-69.2181,0,50,53.6,12.66,1619406615
240,2063042,Port Hedland,AU,-20.3167,118.5667,0,12,89.6,21.85,1619406615
241,2194098,Ahipara,NZ,-35.1667,173.1667,24,65,63.72,8.68,1619406616
242,1150965,Ranong,TH,9.9658,98.6348,75,89,84.2,6.91,1619406616
243,933995,Souillac,MU,-20.5167,57.5167,75,88,77.0,14.97,1619406617
244,103630,Najrān,SA,17.4924,44.1277,40,49,73.4,2.06,1619406617
245,3419842,Sisimiut,GL,66.9395,-53.6735,100,78,38.26,6.11,1619406617
246,4033557,Tautira,PF,-17.7333,-149.15,20,69,82.4,4.61,1619406321
247,118704,Rāvar,IR,31.2656,56.8055,99,29,75.22,2.59,1619406618
248,2126123,Chokurdakh,RU,70.6333,147.9167,100,97,30.31,11.88,1619406619
249,5972762,Hay River,CA,60.8156,-115.7999,100,86,26.6,4.61,1619406619
250,2092164,Lorengau,PG,-2.0226,147.2712,90,66,85.5,3.44,1619406619
251,1726449,Basco,PH,20.4487,121.9702,72,65,76.15,18.63,1619406620
252,5970873,Hare Bay,CA,48.8499,-54.0148,13,70,41.0,8.05,1619406620
253,3462601,Gandu,BR,-13.7439,-39.4867,90,99,69.17,0.87,1619406620
254,1622318,Waingapu,ID,-9.6567,120.2641,18,55,84.51,12.08,1619406621
255,4031637,Lavrentiya,RU,65.5833,-171.0,96,93,33.21,0.36,1619406621
256,5924351,Clyde River,CA,70.4692,-68.5914,90,93,23.0,18.41,1619406621
257,3572462,Dunmore Town,BS,25.5,-76.65,0,81,78.44,8.97,1619406622
258,1215350,Bireun,ID,5.203,96.7009,97,67,84.36,1.66,1619406622
259,2098329,Daru,PG,-9.0763,143.2092,100,89,77.14,6.46,1619406623
260,898947,Senanga,ZM,-16.1167,23.2667,8,83,59.13,5.46,1619406623
261,5000500,Madison Heights,US,42.4859,-83.1052,1,80,36.0,10.36,1619406623
262,1852357,Shimoda,JP,34.6667,138.95,20,38,57.2,17.27,1619406624
263,2208248,Kaitangata,NZ,-46.2817,169.8464,100,74,48.0,15.01,1619406624
264,934649,Cap Malheureux,MU,-19.9842,57.6142,100,90,75.0,3.0,1619406624
265,3879429,Monte Patria,CL,-30.6919,-70.9467,0,54,65.86,0.83,1619406625
266,2377457,Nouadhibou,MR,20.931,-17.0347,0,88,64.4,13.8,1619406625
267,2012530,Zhigansk,RU,66.7697,123.3711,100,95,25.66,18.39,1619406626
268,1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,1,35,69.8,4.61,1619406626
269,667303,Sfântu Gheorghe,RO,45.8667,25.7833,22,79,42.01,3.44,1619406626
270,2287778,Jacqueville,CI,5.2052,-4.4146,20,94,80.6,4.61,1619406627
271,2618795,Klaksvík,FO,62.2266,-6.589,100,100,42.8,19.57,1619406627
